"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN873991796","ger","2016","Deutsches Lesebuch für höhere Lehranstalten","Straßburg","Schultz","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2",,,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN873981057","ger","2016","Lesestoffe aus der klassischen neuhochdeutschen Literatur","Nürnberg","Korn","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2","Deutsches Lesebuch für höhere Lehranstalten",,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN873828097","ger","2016","Auswahl aus der klassischen Litteratur des Mittelalters","Berlin","Grote","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2","Deutsches Lesebuch für höhere Lehranstalten","Ferdinand Hoffmann",
"Geografieunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN865853223","ger","2016","Der Außereuropäischen Nationen zweite Abtheilung","Leipzig","Seeger",,"Geographieunterricht","Nicht zuordbar","Sitten und Gebräuche der merkwürdigsten Nationen",,
"Geografieunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN865853010","ger","2016","Der Außereuropäischen Nationen erste Abtheilung","Leipzig","Seeger",,"Geographieunterricht","Nicht zuordbar","Sitten und Gebräuche der merkwürdigsten Nationen",,
"Geografieunterricht,Sekundarstufe 2,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN865851832","ger","2016","Neue Handelsgeographie","Leipzig","Brandstetter",,"Geographieunterricht","Sekundarstufe 2",,"Johann Jakob Egli",
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/PPN?865849102","ger","2016","Europa","Stuttgart","Erhard und Löflund",,"Geographieunterricht","Sekundarstufe 1","Friedrich Christian Franz's Lehrbuch der Länder- und Völkerkunde","Friedrich Christian Franz","Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864012225","ger","2016","Der @neueren Geschichte zweite Hälfte enthaltend","Halle","Anton","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Universalgeschichte","Heinrich Leo","Gymnasium"
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864010893","ger","2016",,"Lobenstein","Illgensche Hofbuchhandlung",,"Geschichtsunterricht",,"Geschichte unsers Teutschen Vaterlandes von seinem Entstehen an bis auf unsere Zeiten","Ernst Bornschein",
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864010133","ger","2016",,"Lobenstein","Illgensche Hofbuchhandlung",,"Geschichtsunterricht",,"Geschichte unsers Teutschen Vaterlandes von seinem Entstehen an bis auf unsere Zeiten","Ernst Bornschein",
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864009402","ger","2016",,"Lobenstein","Illgensche Hofbuchhandlung",,"Geschichtsunterricht",,"Geschichte unsers Teutschen Vaterlandes von seinem Entstehen an bis auf unsere Zeiten","Ernst Bornschein",
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863245005","ger","2016","Asien, Afrika, Amerika und die neu entdekten Länder","Stuttgart","Erhard und Löflund",,"Geographieunterricht","Sekundarstufe 1","Friedrich Christian Franz's Lehrbuch der Länder- und Völkerkunde","Friedrich Christian Franz","Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863219446","ger","2016","Geschichte des Alterthums","München","königl. Central-Schulbücher-Verl.","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der allgemeinen Geschichte","Constantin Höfler","Gymnasium"
"Geschichtsunterricht,Sekundarstufe 2,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863216838","ger","2016",,"Würzburg","Stahel","[]","Geschichtsunterricht","Sekundarstufe 2","Geschichte der Römer von Erbauung der Stadt Rom bis zum Untergang des abendländischen Kaiserthums","Joseph Stahel",
"Geschichtsunterricht,Sekundarstufe 2,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863055494","ger","2016",,"Würzburg","Stahel","[]","Geschichtsunterricht","Sekundarstufe 2","Geschichte der Römer von Erbauung der Stadt Rom bis zum Untergang des abendländischen Kaiserthums","Joseph Stahel",
