RSWKTag,year,subject,publisher_city,publisher,schoollevel,id,title,language,schooltype,author
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1762,Geschichtsunterricht,Braunschweig,Hildesheim,Sekundarstufe 1,GEIsb000017790,"Herrn Sylvester Tappen, vormahligen Licentiaten der Heil. Schrift, des Evangelischen Ministeriums Seniors, und ersten Predigers der Hauptkirche zu St. Andreas in Hildesheim, Einleitung in die Universal-Historie",ger,Gymnasium,
"Realien,Grundschule,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation",1761,Realien,Berlin,Pauli,Sekundarstufe 1,gbvprint245936645,Kurzer Inbegrif aller Wissenschaften,ger,,
"Online-Publikation,Realien,Realschule,Berlin,Deutschland,Schulbuch",1760,Realien,Berlin,Verlag des Buchladens der Realschule,Sekundarstufe 1,BSZT334345669,Kurze Erläuterung einer in Kupfer gestochenen Vorstellung des Erdbodens,ger,,Johann Friedrich Hähn
"Realien,Deutschland,Schulbuch",1760,Realien,Noribergæ,Endter,,gbvprint231866739,"Joh. Amos Comenii Orbis Sensualium Pictus Quadrilinguis Emendatus, Hoc est: Omnium fundamentalium in mundo Rerum, & vita Actionum, Pictura & Nomenclatura, Germanica, Latina, Italica & Gallica. Cum Titulorum Indicibus atque Vocabulorum Dictionariolis Accurante Carolo Coutelle",mul,,Johannes Amos Comenius
"Erstleseunterricht,Grundschule,Berlin,Deutschland,Schulbuch",1760,Erstleseunterricht,Berlin,Verl. des Buchladens der Real-Schule,Grundschule,GEIsb000021953,Berlinisches neu eingerichtetes ABC Buchstabir- und Lese-Buechlein,ger,,
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch",1759,Geschichtsunterricht,Halle,Wäysenhaus,,BSZT336230087,Hieronymi Freyers weil. Inspectoris des königlichen Pädagogii zu Glaucha vor Halle Nähere Einleitung zur Universalhistorie bis auf ietzige Zeit fortgesetzet,ger,,Hieronymus Freyer
"Realien,Realschule,Deutschland,Schulbuch",1757,Realien,Berlin,Verlag der Buchhandlung der Real-Schule,Sekundarstufe 1,BSZT363821686,Erläuterung einer in Kupfer gestochenen Vorstellung der Römischen Kayser,ger,,Johann Friedrich Hähn
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1757,Erstleseunterricht,Ebersdorf,Vollrath,Grundschule,GEIsb000028017,Neu-eingerichtetes Schul-Büchlein,,,
"Geschichtsunterricht,Deutschland,Schulbuch",1755,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint148820255,Hieronymi Freyers weiland Jnspectoris des königlichen Pädagogii zu Glaucha vor Halle Nähere Einleitung zur Universalhistorie,ger,,Hieronymus Freyer
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch",1755,Geschichtsunterricht,Gotha,Reyher,,BSZT333360125,Des Herrn la Croze Kurzer Begrif der allgemeinen Weltgeschichte,ger,,Maturin Veyssière La Croze
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1755,Geographieunterricht,Chemnitz,Stößel,Sekundarstufe 1,GEIsb000094811,"M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger",ger,,
"Geografieunterricht,Realschule,Berlin,Deutschland,Schulbuch,Online-Publikation",1754,Geographieunterricht,Berlin,Real-Schule,Sekundarstufe 1,gbvprint156522292,Kurtze Erläuterung einer in Kupfer gestochenen Vorstellung des Erdbodens,ger,Realschule,Johann Friedrich Hähn
"Geschichtsunterricht,Realschule,Deutschland,Schulbuch,Online-Publikation",1754,Geschichtsunterricht,Berlin,Buchladen der Realschule,Sekundarstufe 1,gbvprint156522411,Erläuterung einer in Kupfer gestochenen Vorstellung der römischen Kayser,ger,,Johann Friedrich Haehn
"Geografieunterricht,Deutschland,Lehrmittel",1753,Geographieunterricht,Frankfurt,Leipzig,k07,GEIsb1400024x01753,"Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien",ger,,
"Geografieunterricht,Deutschland,Lehrmittel",1753,Geographieunterricht,Frankfurt,Leipzig,k07,GEIsb1400024x02753,"Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern",ger,,
"Geografieunterricht,Deutschland,Lehrmittel",1753,Geographieunterricht,Frankfurt,Leipzig,k07,GEIsb1400024x03753,"Von Böhmen, Oesterreich, Bayern, Francken, Schwaben, Ober-Rhein, Nieder-Rhein, Westphalen, Nieder-Sachsen und Ober-Sachsen",ger,,
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation",1752,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint253689090,Hieronymi Freyers Paed. Reg. Hal. Insp.  Nähere Einleitung zur Universal-Historie,ger,,Hieronymus Freyer
"Staat Braunschweig,Waisenhaus-Buchdruckerei,Schulbuch,Verordnung,Richtlinie",1752,u080,[S.l.],,,012724882,"Serenissimi Verordnung, den Gebrauch der in dem Waisenhause zu Braunschweig gedruckten neuen Schulbücher betreffend",ger,,
"Geschichtsunterricht,Deutschland,Schulbuch",1751,Geschichtsunterricht,Berlin,Nicolai,,gbvprint147633761,Einleitung Zur Universal-Historie,ger,,Hilmar Curas
"Geografieunterricht,Deutschland,Lehrmittel",1751,Geographieunterricht,Leipzig,Waldenburg,,gbvprint136800947,Kern-Geographie,ger,,Gotthilff Werner
"Online-Publikation,Realien,Realschule,Berlin,Deutschland,Schulbuch",1751,Realien,Berlin,Winter,Sekundarstufe 1,BSZT327790245,Erläuterung einer in Kupfer gestochenen Vorstellung des Brandenburgischen Hauses,ger,,Johann Friedrich Hähn
"Geografieunterricht,Deutschland,Schulbuch",1750,Geographieunterricht,[S.l.],,,,@Kurtze Beschreibung Des Erd-Kreises,ger,,
"Geografieunterricht,Deutschland,Schulbuch",1750,Geographieunterricht,[S.l.],,,,@Einleitung Zu der Geographie,ger,,
"Online-Publikation,Religionsunterricht,Deutschland,Schulbuch",1750,Religionsunterricht,Görlitz,Richter,,BSZT33919166X,"Versuch einer Poetischen Anleitung Zur Kirchenhistorie, wodurch  Kindern  und Anfängern das allernöthigste dieser herrlichen Wissenschafft vom Anfange der Welt bis auf  gegenwärtige Zeit, auf eine sehr leichte, nemlich Reimweise eingerichtete Methode beygebracht werden kan",ger,,Johann Christoph Schultz
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1750,Geschichtsunterricht,München,Gastl,Sekundarstufe 1,GEIsb000078166,Kürtziste Universal-Historie Nach der Geographia Auf der Land-Karte,ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1750,Erstleseunterricht,[S.l.],[s.n.],Grundschule,GEIsb000033153,"[Methodus, die Buchstaben und das Lesenlernen zu erleichtern]",,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1750,Erstleseunterricht,Lüneburg,Berenberg,Grundschule,GEIsb000028927,A A a b c ...,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1750,Erstleseunterricht,Frankfurth a.d.O.,Koenigl. Hofbuchdr.,Grundschule,GEIsb000020463,A A a b c ...,ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1748,Erstleseunterricht,Wernigerode,Struck,Grundschule,GEIsb000033416,A A a b c ...,,,
"Online-Publikation,Geografieunterricht,Deutschland,Schulbuch",1747,Geographieunterricht,Görlitz,Richter,,BSZT339193026,"Versuch einer Poetischen Anleitung Zur Geographie, wodurch Kindern und Anfängern Das allernöthigste vom Globo, Europa, Asia, Africa und America; und sonderlich von Teutschland; auf eine sehr leichte, nemlich Reimweise eingerichtete Methode beygebracht werden kan",ger,,Johann Christoph Schultz
"Online-Publikation,Geschichtsunterricht,Tertiärbereich,Deutschland,Schulbuch",1746,Geschichtsunterricht,Hannover,Förster,Tertiärbereich,BSZT324328788,Kurtzer Entwurf der Politischen Historie des XVIII. Jahrhunderts enthaltend die Geschichten aller Europäischen Reiche und Staaten biß zu Ende des Jahrs 1745,ger,,Franz Dominicus Häberlin
"Geschichtsunterricht,Deutschland,Schulbuch",1746,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint184141702,Hieronymi Freyers Paed. Reg. Hal. Insp. Nähere Einleitung zur Universal-Historie,ger,,Hieronymus Freyer
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1746,Geschichtsunterricht,Stuttgart,Metzler,Sekundarstufe 1,GEIsb000018161,Johann Georg Eßichs Kurtze Einleitung zu der allgemeinen weltlichen Historie,,Gymnasium,
"Politischer Unterricht,Tertiärbereich,Deutschland,Lehrmittel",1745,Sozialkundeunterricht,Leipzig,Gleditsch,Tertiärbereich,,Joh. Jacob Schmaussens Einleitung zur allerneuesten Staats-Wissenschaft,ger,,Johann Jacob Schmauß
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1744,Erstleseunterricht,Ebersdorf,Vollrath,Grundschule,,"Neu-eingerichtetes Schul-Büchlein, darin die Jugend zu Erlernung der Buchstaben, des Buchstabirens und Lesens auf eine leichte, deutliche und gründliche Art dergestalt angeleitet wird, daß sie so wol die Bibel, als andere gedruckte Schriften fertig zu lesen tüchtig werden kan",ger,Grundschule,
"Sprachunterricht,Erstleseunterricht,Deutschland,Schulbuch",1743,Erstleseunterricht,Leipzig,Geßner,Grundschule,,"Neu eröffnetes in hundert Sprachen bestehendes A.b.c. Buch, Oder Gründliche Anweisung, In welcher Der zarten Jugend nicht allein in der Teutsch, Lateinisch, Französisch, Italiänischen, [et]c. sondern auch zu denen meisten Orientalischen Sprachen, deren Erkänntniß und Aussprache in kurtzer Zeit zu lernen, Ein leichter Weg gezeiget wird",ger,Gymnasium,Johann Friedrich Fritz
"Geschichtsunterricht,Deutschland,Schulbuch",1742,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint148820166,Hieronymi Freyers Paed. Reg. Hal. Insp. Nähere Einleitung zur Universalhistorie,ger,,Hieronymus Freyer
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1741,Geographieunterricht,Nürnberg,Fleischmann,Sekundarstufe 1,DBHB0040582,Erste Anfangs-Gründe Der Geographie,ger,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1741,Geschichtsunterricht,Leipzig,Gleditsch,Sekundarstufe 2,GEIsb000018151,"Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche Fragen also vorgetragen ist, daß ein paar fleißige Schüler einander sich selbst in dieser Wissenschaft feste setzen können",ger,,
