place,toPlace,lat,lng,oldPlace,num
Leipzig,Leipzig,51.3396955,12.3730747,,802
Breslau,Breslau,51.1078852,17.0385376,,356
Berlin,Berlin,52.5200066,13.404954,,340
Leipzig [u.a.],Leipzig,51.3396955,12.3730747,,163
München,München,48.1351253,11.5819806,,150
Braunschweig,Braunschweig,52.2688736,10.5267696,,102
Hannover,Hannover,52.3758916,9.7320104,,97
Bielefeld [u.a.],Bielefeld,52.0302285,8.5324708,,95
Halle,Halle,51.4969802,11.9688029,,89
Langensalza,Bad Langensalza,51.1093159,10.6445189,Langensalza,86
Stuttgart,Stuttgart,48.7758459,9.1829321,,69
Dresden,Dresden,51.0504088,13.7372621,,64
Halle a.d.S.,Halle (Saale),51.4969802,11.9688029,,58
Halle a.S.,Halle (Saale),51.4969802,11.9688029,,58
Berlin [u.a.],Berlin,52.5200066,13.404954,,51
Gotha,Gotha,50.9469188,10.7092884,,49
Düsseldorf,Düsseldorf,51.2277411,6.7734556,,45
Paderborn,Paderborn,51.7189205,8.7575093,,43
Nürnberg,Nürnberg,49.4254092,11.0796553,,41
Frankfurt am Main,Frankfurt am Main,50.1109221,8.6821267,,36
München [u.a.],München,48.1351253,11.5819806,,36
Hannover [u.a.],Hannover,52.3758916,9.7320104,,35
Hamburg,Hamburg,53.5510846,9.9936818,,34
Münster,Münster,51.9606649,7.6261347,,32
Göttingen,Göttingen,51.5412804,9.9158035,,29
Mainz,Mainz,49.9928617,8.2472526,,28
Freiburg im Breisgau [u.a.],Freiburg im Breisgau,47.9990077,7.8421043,,25
Essen,Essen,51.4556432,7.0115552,,24
Heidelberg,Heidelberg,49.3987524,8.6724335,,23
Bamberg,Bamberg,49.8988135,10.9027636,,22
Freiburg im Breisgau,Freiburg im Breisgau,47.9990077,7.8421043,,22
Wiesbaden,Wiesbaden,50.0782184,8.2397608,,22
Halle a. S.,Halle (Saale),51.4969802,11.9688029,,21
Hannover-List [u.a.],Vahrenwald-List,52.3996378,9.7493829,Hannover-List,21
Köln,Köln,50.937531,6.9602786,,21
Trier,Trier,49.749992,6.6371433,,20
Frankfurt a.M.,Frankfurt am Main,50.1109221,8.6821267,,19
Regensburg,Regensburg,49.0134297,12.1016236,,18
Danzig,Danzig,54.3520252,18.6466384,,17
Wittenberg,Wittenberg,51.8739831,12.6279659,,17
Bielefeld,Bielefeld,52.0302285,8.5324708,,16
Karlsruhe,Karlsruhe,49.0068901,8.4036527,,16
Altona,Hamburg,53.5510846,9.9936818,,15
Altenburg,Altenburg,50.9931202,12.4366572,,14
Elberfeld,Elberfeld,51.2492123,7.1129837,,14
Halle a. d. S.,Halle (Saale),51.4969802,11.9688029,,14
Gießen,Gießen,50.5840512,8.6784031,,13
Oldenburg,Oldenburg,53.1434501,8.2145521,,13
Straßburg,Straßburg,48.5734053,7.7521113,,13
Weimar,Weimar,50.9794934,11.3235439,,13
Wolfenbüttel,Wolfenbüttel,52.1640413,10.5408484,,13
Erlangen,Erlangen,49.5896744,11.0119611,,11
Gera,Gera,50.8850706,12.0807203,,11
Hildburghausen,Hildburghausen,50.4263293,10.7312097,,11
Königsberg,Königsberg,54.7104264,20.4522144,,11
Dresden [u.a.],Dresden,51.0504088,13.7372621,,10
Gütersloh,Gütersloh,51.9032375,8.3857535,,10
Paderborn [u.a.],Paderborn,51.7189205,8.7575093,,10
Augsburg,Augsburg,48.3705449,10.89779,,9
Erfurt,Erfurt,50.9847679,11.0298799,,9
Münster i.W.,Münster,51.9606649,7.6261347,,9
Münster in Westf.,Münster,51.9606649,7.6261347,,9
Schleswig,Schleswig,54.5239312,9.563227,,9
Cöthen,Köthen (Anhalt),51.7505762,11.9802357,Cöthen,8
Eisleben,Eisleben,51.5195173,11.5576749,,8
Frankfurt a. M.,Frankfurt am Main,50.1109221,8.6821267,,8
Glogau,Głogów,51.6635852,16.0846672,Glogau,8
Magdeburg,Magdeburg,52.1205333,11.6276237,,8
Wien,Wien,48.2081743,16.3738189,,8
[S.l.],,,,,7
Cassel,Kassel,51.3127114,9.4797461,Cassel,7
Kreuznach,Bad Kreuznach,49.8440162,7.8731346,Kreuznach,7
Aachen,Aachen,50.7753455,6.0838868,,6
Ansbach,Ansbach,49.3004246,10.5719357,,6
Braunschweig [u.a.],Braunschweig,52.2688736,10.5267696,,6
Eßlingen,Eßlingen,49.9147828,6.527101,,6
Flensburg,Flensburg,54.7937431,9.4469964,,6
