name,lat,lon
Leipzig,51.3396955,12.3730747
Berlin,52.5200066,13.404954
Breslau,51.1078852,17.0385376
Halle,51.4969802,11.9688029
Hannover,52.3758916,9.7320104
München,48.1351253,11.5819806
Bielefeld,52.0302285,8.5324708
Frankfurt am Main,50.1109221,8.6821267
Braunschweig,52.2688736,10.5267696
Stuttgart,48.7758459,9.1829321
Gotha,50.9469188,10.7092884
Freiburg im Breisgau,47.9990077,7.8421043
Münster,51.9606649,7.6261347
Nürnberg,49.45203,11.07675
Langensalza,52.1710849,9.6468421
Hamburg,53.5510846,9.9936818
Dresden,51.0504088,13.7372621
Straßburg,48.5734053,7.7521113
Paderborn,51.7189205,8.7575093
Köln,50.937531,6.9602786
Oldenburg,53.1434501,8.2145521
Bamberg,49.8988135,10.9027636
Wiesbaden,50.0782184,8.2397608
Gießen,50.5840512,8.6784031
Hannover-List,52.399053,9.7564214
Dortmund,51.5135872,7.4652981
Trier,49.749992,6.6371433
Essen,51.4556432,7.0115552
Düsseldorf,51.2277411,6.7734556
Karlsruhe,49.0068901,8.4036527
Coblenz,-20.1178121,18.1873407
Erlangen,49.5896744,11.0119611
Mainz,49.9928617,8.2472526
Göttingen,51.5412804,9.9158035
Cassel,51.3127114,9.4797461
Regensburg,49.0134297,12.1016236
Kiel,54.3232927,10.1227652
Altona,44.8883722,-73.6556985
Neuwied [u.a.],50.4361866,7.4664546
Bonn,50.73743,7.0982068
Augsburg,48.3705449,10.89779
Gera,50.8850706,12.0807203
Magdeburg,52.1205333,11.6276237
Elberfeld,51.2496426,7.1486237
Gütersloh,51.9032375,8.3857535
Lahr,48.33915,7.8781487
Harburg,53.4607785,9.9834184
Wien,48.2081743,16.3738189
Heidelberg,49.3987524,8.6724335
Wittenberg,51.8739831,12.6279659
Hildburghausen,50.4263293,10.7312097
Königsberg,54.7104264,20.4522144
Osnabrück,52.2799112,8.0471788
Weimar,50.9794934,11.3235439
[S.l.],43.1828396,-3.9878427
Hildesheim,52.154778,9.9579652
Reutlingen,48.5069389,9.2038043
Schleswig,54.5239312,9.563227
Bremen,53.0792962,8.8016937
Danzig,54.3520252,18.6466384
Münster in Westf.,41.5375497,-87.5196465
Flensburg,54.7937431,9.4469964
Potsdam,52.3905689,13.0644729
Wolfenbüttel,52.1640413,10.5408484
Erfurt,50.9847679,11.0298799
Jena,50.927054,11.5892372
Würzburg,49.7913044,9.9533548
Darmstadt,49.8728253,8.6511929
Kempten,47.7285699,10.3157835
Rostock,54.0924406,12.0991466
Chemnitz,50.827845,12.9213697
Ansbach,49.3004246,10.5719357
Eßlingen,49.9147828,6.527101
Coburg,50.2612094,10.962695
Freiburg,47.9990077,7.8421043
Habelschwerdt,50.2666667,16.55
Frankfurt,50.1109221,8.6821267
Lübeck,53.8654673,10.6865593
Lüneburg,53.2464214,10.4115179
Mannheim,49.4874592,8.4660395
Bühl (Baden),48.6954722,8.1380604
Cöthen,51.9981708,5.3080065
Halle (Saale),51.4969802,11.9688029
Horb a.N.,48.442078,8.6848512
Kreuznach,49.8440162,7.8731346
Moers,51.4516041,6.6408148
Osterwieck/Harz,51.9720556,10.711473
Brandenburg,52.4125287,12.5316444
Bruchsal,49.1249712,8.5844108
Eisleben,51.5195173,11.5576749
Glogau,51.6635852,16.0846672
Posen,52.406374,16.9251681
Wesel,51.6643079,6.6295679
Zwickau,50.7102169,12.4733725
Detmold,51.9384783,8.868638
Goslar a. H.,51.9059531,10.4289963
Heilbronn,49.1426929,9.210879
Lahr i.B.,48.33915,7.8781487
Landshut,48.5441917,12.1468532
Metz,49.1193089,6.1757156
Minden i.W.,41.4669362,-95.5427822
Quedlinburg,51.7920562,11.141448
Schnepfenthal,50.879406,10.580022
Stendal,52.6041444,11.8517729
Tübingen,48.5216364,9.0576448
Weinheim [u.a.],49.544964,8.6602703
Arnsberg i.W.,51.4073375,8.052771
Dessau,51.8222436,12.2424516
Duisburg,51.4344079,6.7623293
Grimma,51.2364426,12.7202313
Harburg a. d. Elbe,52.0221417,12.3073692
Meißen,51.1617842,13.4976592
Rengshausen,51.0055705,9.5357931
Sondershausen,51.3691898,10.8710502
Weißenfels,51.1972771,11.9689146
Aachen,50.7753455,6.0838868
Bayreuth,49.9456399,11.5713346
Bochum,51.4818445,7.2162363
Freiburg i.B.,47.9990077,7.8421043
Görlitz,51.1506269,14.968707
Halberstadt,51.8948709,11.0496159
Ilmenau,50.6843502,10.9254728
Lemgo,52.0266732,8.9018625
Münster (Westf.),51.8994604,7.6405456
Neustadt-Leipzig,51.3467535,12.4030344
Oppenheim,49.8519223,8.3602742
Passau,48.5667364,13.4319466
Plön,54.1613302,10.4259498
Ratzeburg,53.6989627,10.7710605
Rinteln,52.2020461,9.0759703
Rudolstadt,50.7182972,11.3336548
Schwerin,53.6355022,11.4012499
Schwerin i. M.,53.6355022,11.4012499
Soest,51.5711476,8.105754
Stade,53.5928618,9.4709494
Wismar,53.8979416,11.4516022
Zweibrücken,49.2450528,7.3634022
Blankenburg,51.8164261,10.9773091
Crefeld,40.0769378,-75.2165553
Döbeln,51.1229322,13.1167196
Emmerich,51.8395929,6.2517303
Friedberg,48.3559766,10.9865457
Gmünd,48.77156,14.98511
Halle im Magdeburg.,51.4844082,11.9806836
Helmstedt,52.228966,11.009544
Karlsruhe i.B.,49.0068901,8.4036527
Marburg,50.8021728,8.7667933
New York,40.7127837,-74.0059413
Nördlingen,48.8508157,10.4894906
Paris [u.a.],48.856614,2.3522219
Rödelheim,50.1301854,8.6040138
Saarbrücken,49.2401572,6.9969327
Sagan,51.6178445,15.3248325
Schwabach,49.3284557,11.0247098
Schwelm,51.2882674,7.291086
Speyer,49.3172765,8.4412172
Ulm,48.4010822,9.9876076
Wernigerode,51.8368113,10.7844266
Arnsberg i. Westf.,51.4291166,8.014052
Basel,47.5595986,7.5885761
Bernburg,51.7833579,11.7537327
Bielefeld & Leipzig,51.3396955,12.3730747
Bonndorf,47.8164048,8.3372044
Bückeburg,52.2592762,9.0521233
Büdingen,50.2862963,9.1113838
Chemnitz-Gablenz,50.8225743,12.9539094
Cöthen (Anhalt),51.7505762,11.9802357
Dresden-N.,36.2914512,-88.7081122
Ebersdorf,50.2208366,11.0713862
Einbeck,51.8205718,9.8683087
Frankfurt und Leipzig,51.3396955,12.3730747
Greiz,50.6585555,12.2077126
Grünstadt,49.5633016,8.1683938
Gummersbach,51.0266668,7.569283
Harburg an der Elbe,52.0221417,12.3073692
Heiligenstadt,46.63518,14.86487
Hof,50.3135391,11.9127814
Hof a.S.,50.3135391,11.9127814
Holzminden,51.8238111,9.4558926
Jülich,50.9224226,6.3639119
Köln a. Rhein,49.345124,7.8669227
Königshütte,50.2974884,18.9545728
Meiningen,50.5739121,10.4190128
Merseburg,51.3563278,11.9917462
Nagold,48.5474083,8.7234746
Neustrelitz,53.3601147,13.0730197
Pirna,50.9625175,13.9419169
Prenzlau,53.3173433,13.8633409
Ruhrort,51.4499282,6.7483238
Saalfeld,50.6492736,11.3661502
Schweidnitz,50.8498434,16.475679
Stettin,53.4285438,14.5528116
Weilburg,50.4859255,8.2722569
Wittlich,49.9854178,6.8953377
Wojerezach,,
[Oppenheim],49.8519223,8.3602742
Altona-Ottensen,53.5560256,9.9226165
Annen i.W.,53.0589104,6.7213678
Arnsberg in Westfalen,51.4218752,8.1256314
Arnstadt,50.840914,10.9505322
Aschersleben,51.7591297,11.4619062
Bad Godesberg,50.6783207,7.1542428
Belle-Vue bei Constanz,,
Bergedorf,53.485984,10.2162551
Berlin SW,52.5200066,13.404954
Berlin und Stettin,53.4285438,14.5528116
Berlin-Halensee,52.4975299,13.2928398
Berlin-Lichterfelde,52.4293696,13.3077015
Berlin-Zehlendorf,52.4339586,13.2589088
Biberach,48.0951473,9.7901525
Bonndorf (bad. Schwarzwald),47.8164048,8.3372044
Boppard,50.2311996,7.58853
Bruchsal (Baden),49.1249712,8.5844108
Bunzlau,51.2658553,15.5657397
Cannstatt,34.647198,-86.5482232
Coesfeld,51.9382944,7.1675831
Colberg,61.5570192,-149.2682207
Cöln a. Rh.,51.051538,5.9329808
Delmenhorst,53.0521886,8.6355932
Diepholz,52.6056456,8.3707878
Diessen vor München,48.1351253,11.5819806
Dil[l]ingen,48.5790918,10.4940239
Dillenburg,50.7452841,8.2807631
Dinkelsbühl,49.0670187,10.3259395
Donaueschingen,47.9521523,8.4979461
Dreßden und Leipzig,52.1849011,-108.681485
Eberswalde,52.837133,13.7875871
Eckernförde,54.4689457,9.8384467
Ehingen a.d. Donau,48.2928997,9.6612347
Eisenach,50.9795715,10.3146872
Elmshorn,53.7513549,9.6632521
Embsen,53.1747532,10.3446847
Emden,53.3594029,7.2060095
Frankfurth a.d.O.,50.1109221,8.6821267
Friedland,51.421098,9.9121688
Friedrichshagen-Berlin,52.461374,13.6406056
Garding,54.33189,8.78241
Gebweiler,49.4366704,8.5755934
Giesen und Darmstadt,50.5840512,8.6784031
Glatz,50.4345636,16.6613941
Groß-Strehlitz,50.51092,18.29987
Grünberg,50.5926747,8.9582718
Hadamar,50.4468164,8.0454623
Hagen i. W.,51.3670777,7.4632841
Heide,54.1951764,9.1019015
Heiligenstadt (Eichsfeld),51.3770297,10.1439107
Herborn,50.6784088,8.2997096
Hersfeld,34.0590543,-84.2196138
Hirschberg,49.508533,8.6557901
Ingolstadt,48.7665351,11.4257541
Innsbruck,47.2692124,11.4041024
Itzehoe,53.9317752,9.5051475
Kaiserslautern,49.4400657,7.7491265
Kaiserswerth am Rhein,,
Kiel [u. a.] :Lipsius & Tischer,54.3232927,10.1227652
Königsberg i. Pr.,54.6831496,20.5752361
Konstanz,47.6779496,9.1732384
Kopenhagen,55.6760968,12.5683371
Królewiec,54.7104264,20.4522144
Leipzig & Berlin,49.953177,7.9084906
Leipzig-Neustadt,51.3467535,12.4030344
Leutkirch,47.826741,10.0213851
Limburg a. d. Lahn,50.3986005,8.0795783
Lindenfels-Kolmbach,49.7077109,8.7555071
Lobenstein,48.4431088,14.2244459
Ludwigsburg,48.8940624,9.195464
Ludwigshafen a. Rh.,49.477987,8.433402
Marburg in Hessen,50.8021728,8.7667933
Meldorf,54.0899822,9.0754881
Mengeringhausen,51.3662391,8.9892919
Mößkirch,47.9944211,9.1156399
Mühlhausen,51.2098649,10.4571001
Mülheim a.d. Ruhr,51.3659097,7.6282792
Mülheim am Rheine,52.2815691,7.4434092
Naumburg a/S.,51.2482221,9.1676721
Neu-Ruppin,52.9154545,12.7990783
Neuhaldensleben,,
Neukirchen,51.4472099,6.5733244
Neustadt a.d.O.,49.3501864,8.1486886
Neustadt an d. Orla,50.7367065,11.7538634
Offenbach,50.0956362,8.7760843
Oldenburg/Holstein,54.3068338,10.8611882
Oppenheim am Rhein,49.8082159,8.3904577
Osterwieck,51.9720556,10.711473
Pennrich,51.0416461,13.6272469
Pesth,,
Prag,50.0755381,14.4378005
Rappenau,49.4671631,10.4925518
Rastatt,48.8591174,8.2059096
Recklinghausen,51.6140649,7.1979453
Rendsburg,54.3080869,9.6606993
Rodenberg,52.266667,9.366667
Rostock i. M.,54.0924406,12.0991466
Rotweil,48.1610687,8.6316219
Saarlouis,49.3134606,6.7522865
Salzburg,47.80949,13.05501
Schneeberg,50.5954901,12.6386475
Schwedt,53.0624695,14.2734639
Solingen,51.1702072,7.0831408
Sondheim v. d. Rhön,50.464187,10.1581391
Speyer a.Rh.,49.3172765,8.4412172
